hour,load_kw,pv_kw,price,charge_kw,discharge_kw,soc_kwh,grid_import_kw
0,45.0,0.0,0.45,0.0,30.0,18.421052631578945,15.0
1,42.0,0.0,0.42,0.0,4.615763886802236e-15,18.42105263157894,41.99999999999999
2,40.0,0.0,0.4,25.87257617727317,1.6009147039869568e-15,42.999999999988454,65.87257617727317
3,39.0,0.0,0.38,29.999999999999996,1.2078792026277576e-15,71.49999999998845,69.0
4,38.0,0.0,0.38,29.999999999999996,6.136862710261414e-16,99.99999999998845,68.0
5,40.0,0.0,0.42,9.442629751789828e-13,3.274345406289558e-15,99.99999999998934,40.000000000000945
6,48.0,5.0,0.55,0.0,1.0185284107775208e-14,99.99999999998933,42.99999999999999
7,55.0,12.0,0.65,0.0,9.595941266022423e-16,99.99999999998933,43.0
8,62.0,20.0,0.72,0.0,0.0,99.99999999998933,42.0
9,68.0,30.0,0.78,0.0,1.1080143062552807e-11,99.99999999997766,37.99999999998892
10,72.0,42.0,0.82,0.0,29.15000007272845,69.3157893971056,0.8499999272715506
11,75.0,50.0,0.85,0.0,24.999999927260347,42.99999999998945,7.273965252352355e-08
12,77.0,52.0,0.8,0.0,9.584235396422822e-15,42.99999999998944,24.99999999999999
13,76.0,48.0,0.76,0.0,7.998799282899113e-15,42.999999999989434,27.999999999999993
14,74.0,38.0,0.7,29.999999999999993,3.887412049666009e-15,71.49999999998943,66.0
15,73.0,25.0,0.68,29.999999999999993,4.603062128052211e-15,99.99999999998943,78.0
16,78.0,12.0,0.75,0.0,7.761146704144305e-15,99.99999999998941,65.99999999999999
17,85.0,3.0,0.92,0.0,25.500000000000004,73.15789473683151,56.5
18,90.0,0.0,1.05,0.0,30.0,41.578947368410454,60.0
19,88.0,0.0,0.98,0.0,30.0,9.999999999989399,58.0
20,80.0,0.0,0.82,0.0,1.301123340472135e-14,9.999999999989384,79.99999999999999
21,70.0,0.0,0.7,0.0,1.3334939082646855e-15,9.999999999989383,70.0
22,60.0,0.0,0.58,0.0,3.1103354173169058e-15,9.99999999998938,60.0
23,52.0,0.0,0.5,0.0,1.1722815517384715e-14,9.999999999989367,51.999999999999986
